Transaction,ID,Avr_Spend,Transactions,Freq,Age,Recency,A_Total_S,p_alive,pred_txn_90d,exp_avg_spend,CLV1,CLV2
3,12410.0,386.85499999999996,3,2,411,194,386.85499999999996,0.7591417748792969,0.38042472575962005,426.25195088143084,123.09998693072264,162.15678151857136
1,12411.0,346.9,1,0,318,0,346.9,1.0,0.14251019985664656,-21.005957679394605,-2.993563227070785,-2.993563227070785
5,12412.0,419.758,5,4,448,402,419.758,0.9499420742811253,0.7815251201431981,440.0648329755714,326.70571347597604,343.92172146202984
3,12413.0,231.75,3,2,311,166,231.75,0.8124224644698287,0.5188351005192982,256.16472727946575,107.97683723812685,132.9072520275402
4,12414.0,133.1025,4,3,372,246,133.1025,0.8651836332890133,0.6561078887527289,142.71691065426648,81.01379765912314,93.63769093868262
18,12415.0,8080.448,18,17,436,428,8080.448,0.988461999229087,3.193183760049481,8165.282538645581,25772.414447725598,26073.247598618666
1,12416.0,202.56,1,0,565,0,202.56,1.0,0.08558526143377261,-21.005957679394605,-1.7978003796577506,-1.7978003796577506
18,12417.0,293.07388888888886,18,17,642,627,293.07388888888886,0.987346632413395,2.2452280605817667,296.3627823419262,656.9824584841181,665.4020350261793
4,12418.0,505.3,4,3,539,518,505.3,0.9530145652603199,0.5190475286207512,538.1348079210794,266.19368596948857,279.31754211623894
2,12419.0,195.505,2,1,322,28,195.505,0.44562477358051206,0.16954930275755792,241.80461900003854,18.269637372125967,40.997804555013474
5,12421.0,144.824,5,4,414,391,144.824,0.9591323702629873,0.8464609361304202,152.46410122486242,123.78073774109492,129.05490584908017
12,12422.0,303.27916666666664,12,11,630,626,303.27916666666664,0.9860229774669488,1.5032773967097823,308.5573039902038,457.3640176228704,463.8472206781825
9,12423.0,234.19444444444446,9,8,374,365,234.19444444444446,0.9789189371782018,1.7681721193499473,239.94085413956756,415.31294583477546,424.25672858259577
4,12424.0,1113.3433333333332,4,3,457,386,1113.3433333333332,0.9306290228925713,0.5882445568008612,1184.1123233900719,648.2274392581073,696.5476288750308
1,12425.0,964.21,1,0,357,0,964.21,1.0,0.12896246339144038,-21.005957679394605,-2.708980048231073,-2.708980048231073
2,12426.0,600.605,2,1,571,468,600.605,0.8822731896954435,0.2018368086050663,733.5329165141493,130.62402442818,148.05394287598244
1,12427.0,499.0,1,0,280,0,499.0,1.0,0.15876426502891985,-21.005957679394605,-3.334995432197679,-3.334995432197679
7,12428.0,1012.82,7,6,192,163,1012.82,0.9481382187142997,2.288539889635016,1044.0932776433804,2265.5280270230137,2389.449114386644
7,12429.0,1214.8780000000002,7,6,455,374,1214.8780000000002,0.930741817218096,1.0843077329940107,1252.2635404349342,1263.7975761750029,1357.8390406400572
21,12431.0,425.95666666666665,21,20,602,574,425.95666666666665,0.9819202426021756,2.773137543496725,429.9287490269332,1170.6959360844012,1192.2515549551695
2,12432.0,3316.66,2,1,81,0,3316.66,0.6733619205867121,0.7177706487214106,4030.4006062319663,1947.970893704901,2892.903257742285
6,12433.0,2266.77,6,5,385,385,2266.77,0.9731384400871408,1.1151216723639463,2350.3218694155166,2550.493529480472,2620.8948536161874
2,12434.0,291.77,2,1,290,121,291.77,0.7685733434629745,0.31968080100955854,358.6553337869945,88.1209491559782,114.65522439137699
5,12435.0,2015.0059999999999,5,4,646,470,2015.0059999999999,0.8856545996772642,0.5224516134486636,2108.808939284195,975.7705156224795,1101.7506327839926
1,12436.0,429.01000000000005,1,0,8,0,429.01000000000005,1.0,0.8798247350041477,-21.005957679394605,-18.4815611487817,-18.4815611487817
31,12437.0,333.5857142857143,31,30,646,639,333.5857142857143,0.9932302720793588,3.905475125671928,335.68030758467637,1302.1160384543555,1310.9910914498555
1,12438.0,770.0699999999999,1,0,49,0,770.0699999999999,1.0,0.5204226112253341,-21.005957679394605,-10.9319753467994,-10.9319753467994
2,12439.0,579.09,2,1,634,43,579.09,0.28845290681487246,0.05994352671376333,707.4170579088269,12.231866659543131,42.40507330852962
2,12440.0,369.6,2,1,626,255,369.6,0.737340331934917,0.15503053591724697,453.1288301965804,51.79727748055645,70.24880538493106
1,12441.0,311.1,1,0,275,0,311.1,1.0,0.16118352512111858,-21.005957679394605,-3.385814307309854,-3.385814307309854
1,12443.0,365.31,1,0,641,0,365.31,1.0,0.07622005893577709,-21.005957679394605,-1.6010753323258962,-1.6010753323258962
2,12444.0,1173.635,2,1,80,50,1173.635,0.8673219872234472,0.9315122937226868,1429.102075547748,1154.6017119063874,1331.2261523573352
1,12445.0,301.58000000000004,1,0,329,0,301.58000000000004,1.0,0.13840888300499854,-21.005957679394605,-2.9074111388552786,-2.9074111388552786
1,12447.0,431.49,1,0,152,0,431.49,1.0,0.257941305873036,-21.005957679394605,-5.418304154936773,-5.418304154936773
4,12449.0,764.5450000000001,4,3,347,347,764.5450000000001,0.958537781380437,0.7722790316529613,813.5534036315152,602.2399276845889,628.2902347545173
5,12450.0,137.64000000000001,5,4,383,318,137.64000000000001,0.9333468114070894,0.8821949697777076,144.9491206953641,119.35021629465838,127.87338515115201
5,12451.0,2235.545,5,4,438,311,2235.545,0.8806839951359953,0.739283768319474,2339.5085900351737,1523.1964504064497,1729.5607264569826
1,12453.0,707.09,1,0,43,0,707.09,1.0,0.5533753136091938,-21.005957679394605,-11.624178418496442,-11.624178418496442
3,12454.0,4310.4800000000005,3,2,330,26,4310.4800000000005,0.1935417999489671,0.11747555908755386,4728.875868261661,107.51776062313283,555.5273364796803
8,12455.0,682.55625,8,7,630,594,682.55625,0.9702399597421442,0.9686606549988659,700.7201436274902,658.5601073807586,678.760033297104
2,12456.0,912.7,2,1,163,123,912.7,0.8774785653518828,0.5795204953774012,1112.3676314306301,565.6576426812782,644.6398408084652
4,12457.0,356.895,4,3,344,202,356.895,0.8211471054854647,0.6665790840426331,380.4712205947771,208.25453152901432,253.61415772864913
3,12458.0,359.00333333333333,3,2,396,203,359.00333333333333,0.790636268815615,0.40942837038857016,395.7099783078792,128.09484935959034,162.01489156509143
1,12459.0,398.36,1,0,514,0,398.36,1.0,0.09327676439757454,-21.005957679394605,-1.9593677654063122,-1.9593677654063122
1,12460.0,296.65,1,0,365,0,296.65,1.0,0.1264959708115734,-21.005957679394605,-2.657169009481846,-2.657169009481846
1,12461.0,626.88,1,0,63,0,626.88,1.0,0.45700862216483995,-21.005957679394605,-9.599903776313067,-9.599903776313067
1,12462.0,594.11,1,0,212,0,594.11,1.0,0.19949836835619836,-21.005957679394605,-4.190654282798579,-4.190654282798579
3,12463.0,292.59666666666664,3,2,150,66,292.59666666666664,0.7979835086809132,0.9136176175146501,322.8888212723581,235.40267377088142,294.99691561296544
6,12464.0,123.10999999999999,6,5,218,203,123.10999999999999,0.9632039977801329,1.7829913990554962,128.37325912128864,220.46623818628896,228.88841688198016
1,12465.0,410.94,1,0,78,0,410.94,1.0,0.40430532854841683,-21.005957679394605,-8.492820621041774,-8.492820621041774
1,12467.0,132.8,1,0,332,0,132.8,1.0,0.1373310292044167,-21.005957679394605,-2.884769787535682,-2.884769787535682
5,12468.0,647.7479999999999,5,4,591,495,647.7479999999999,0.9335584697899624,0.597685905033123,678.5587654533448,378.61864999418157,405.565009848141
2,12469.0,1535.27,2,1,445,14,1535.27,0.2688725378123106,0.07705432329790846,1868.070633611227,38.702297809468384,143.9429185456082
1,12470.0,211.95,1,0,598,0,211.95,1.0,0.08125032027607983,-21.005957679394605,-1.7067407891565902,-1.7067407891565902
61,12471.0,741.131081081081,61,60,641,625,741.131081081081,0.9896332564563313,7.76316936825332,743.3754458374198,5711.123536867963,5770.949490236712
17,12472.0,880.9458823529412,17,16,634,587,880.9458823529412,0.9706838277190574,2.1060548892592776,890.9875616608728,1821.457830508118,1876.4687105050832
2,12473.0,512.125,2,1,100,77,512.125,0.8843476131972227,0.8251148471457113,626.1319790566116,456.8812079794843,516.6307921923378
24,12474.0,373.9443478260869,24,23,575,568,373.9443478260869,0.9916042923938604,3.3463023507846,376.99286417530146,1250.9406529075059,1261.5321076188307
1,12475.0,396.26,1,0,318,0,396.26,1.0,0.14251019985664656,-21.005957679394605,-2.993563227070785,-2.993563227070785
13,12476.0,761.7216666666667,13,12,410,360,761.7216666666667,0.9503233101053621,2.320517780584419,773.3840443430742,1705.4990837541393,1794.6514261183925
6,12477.0,2648.443333333333,6,5,532,523,2648.443333333333,0.9707549282641471,0.8331736752545039,2745.9342951669723,2220.932118857514,2287.840168711652
6,12480.0,640.3616666666667,6,5,416,364,640.3616666666667,0.9490626553676133,1.0157381513715178,664.5154747349463,640.5923508784713,674.973719865041
12,12481.0,985.883,12,11,516,428,985.883,0.913512845932643,1.671373718936211,1002.2713502177352,1530.2893086368333,1675.1699939966336
27,12482.0,4388.344,27,26,562,77,4388.344,7.981490820027561e-17,3.100096953259105e-16,4418.4247396455885,1.0932683026169205e-28,1.3697545073579942e-12
17,12483.0,216.97875000000002,17,16,586,579,216.97875000000002,0.9890226210234,2.3068217844401526,219.62829957531065,501.0817299255198,506.6433459398745
8,12484.0,604.3225,8,7,590,578,604.3225,0.9771232210009226,1.0361426104673968,620.4666297777991,628.1846172607662,642.8919134858766
1,12485.0,708.1,1,0,438,0,708.1,1.0,0.10770209877629643,-21.005957679394605,-2.2623857288768603,-2.2623857288768603
1,12486.0,917.28,1,0,340,0,917.28,1.0,0.1345372242184928,-21.005957679394605,-2.8260832382368823,-2.8260832382368823
1,12487.0,285.29999999999995,1,0,639,0,285.29999999999995,1.0,0.07644016914091406,-21.005957679394605,-1.6056989579798062,-1.6056989579798062
1,12489.0,298.93,1,0,245,0,298.93,1.0,0.17740564144997698,-21.005957679394605,-3.7265753963840695,-3.7265753963840695
16,12490.0,444.70625,16,15,647,645,444.70625,0.9898272608539572,1.9806987002966154,450.2409209433243,882.7196435428359,891.7916069327936
2,12492.0,244.195,2,1,312,298,244.195,0.9038169392503146,0.3532931703011962,300.9066945516605,96.08322432159113,106.30828008300983
2,12493.0,207.87,2,1,106,32,207.87,0.7788059182300585,0.6991302937263868,256.81380290219107,139.83172840069773,179.54630945599925
7,12494.0,182.80428571428573,7,6,485,415,182.80428571428573,0.9441520574821736,1.038673341821629,188.96955394040248,185.31593584402196,196.2776380938204
1,12495.0,277.4,1,0,549,0,277.4,1.0,0.08785804774812007,-21.005957679394605,-1.8455424327912409,-1.8455424327912409
2,12496.0,54.09,2,1,529,0,54.09,0.15969435745624563,0.0391667218582578,70.14883723514603,0.43876024657911894,2.7474999966691627
2,12497.0,2521.7000000000003,2,1,553,244,2521.7000000000003,0.7605289131128675,0.17914797917138497,3065.44299726673,417.65807996442567,549.167918225408
1,12499.0,357.72,1,0,469,0,357.72,1.0,0.1013109899581968,-21.005957679394605,-2.1281343675194537,-2.1281343675194537
13,12500.0,242.0946153846154,13,12,582,567,242.0946153846154,0.9837695260426905,1.752255607712926,246.0147252089176,424.08403804738356,431.08068182728044
1,12501.0,2025.39,1,0,245,0,2025.39,1.0,0.17740564144997698,-21.005957679394605,-3.7265753963840695,-3.7265753963840695
5,12502.0,599.174,5,4,218,214,599.174,0.9651286823904336,1.4669413762871255,627.7468689834323,888.7559804653395,920.86785594649
1,12503.0,896.0,1,0,493,0,896.0,1.0,0.096861320540794,-21.005957679394605,-2.034664800050194,-2.034664800050194
2,12504.0,130.5,2,1,505,179,130.5,0.7083141355585784,0.1811854386093843,162.89867483833834,20.905798106924298,29.514867849471806
1,12505.0,787.2,1,0,317,0,787.2,1.0,0.14289514359820535,-21.005957679394605,-3.0016493390149166,-3.0016493390149166
1,12506.0,73.5,1,0,141,0,73.5,1.0,0.27259250356191195,-21.005957679394605,-5.726066593541746,-5.726066593541746
4,12507.0,377.015,4,3,493,450,377.015,0.9449646059762742,0.557969202871269,401.8464530802405,211.87802214595933,224.2179451018286
1,12509.0,158.5,1,0,193,0,158.5,1.0,0.21491263016863094,-21.005957679394605,-4.514445614089646,-4.514445614089646
7,12510.0,434.1471428571429,7,6,644,593,434.1471428571429,0.9627232608177938,0.8177636058778585,447.91554282581416,352.63496881461145,366.2890294299761
1,12511.0,3084.02,1,0,337,0,3084.02,1.0,0.1355714659724903,-21.005957679394605,-2.8478084767516174,-2.8478084767516174
1,12513.0,558.29,1,0,21,0,558.29,1.0,0.7212871387626719,-21.005957679394605,-15.15132711154031,-15.15132711154031
2,12514.0,798.88,2,1,550,374,798.88,0.8518581539662973,0.20165851134436033,974.207881188576,167.35376233312198,196.4573110604317
1,12515.0,278.7,1,0,262,0,278.7,1.0,0.16783335138333358,-21.005957679394605,-3.5255002763492693,-3.5255002763492693
3,12516.0,543.9200000000001,3,2,508,419,543.9200000000001,0.9133524176766793,0.3786466626904077,598.4884988653299,206.97997259324652,226.615672753949
2,12517.0,724.35,2,1,99,64,724.35,0.8664519855840346,0.8137559519398536,883.7400707375106,623.1078558957237,719.1487425303965
1,12518.0,288.83,1,0,19,0,288.83,1.0,0.7418115099822564,-21.005957679394605,-15.582461184775086,-15.582461184775086
1,12519.0,349.7,1,0,385,0,349.7,1.0,0.12072394953457151,-21.005957679394605,-2.5359221748125793,-2.5359221748125793
4,12520.0,457.4625,4,3,182,131,457.4625,0.9036945788005336,1.2388084931722934,487.3128554348289,545.5489440462816,603.687304144708
1,12521.0,545.68,1,0,51,0,545.68,1.0,0.5102993932662022,-21.005957679394605,-10.719327458770588,-10.719327458770588
19,12523.0,171.4805263157895,19,18,641,625,171.4805263157895,0.9874123500611366,2.376449522576803,173.38306638554687,406.8495390787075,412.03610533483504
15,12524.0,613.7764285714285,15,14,578,507,613.7764285714285,0.94260173802286,1.95797233461489,621.8661039499244,1147.7086971685087,1217.5966273686995
3,12525.0,294.57666666666665,3,2,556,149,294.57666666666665,0.47579634399778276,0.1817200374288787,325.0600775357403,28.105256475575825,59.06992945642894
1,12526.0,484.3,1,0,3,0,484.3,1.0,0.9614126650313558,-21.005957679394605,-20.19539375408264,-20.19539375408264
4,12527.0,163.43,4,3,438,235,163.43,0.7681134985392458,0.5042842267059964,174.936461509281,67.76120480891936,88.21769821489107
4,12528.0,272.34250000000003,4,3,221,198,272.34250000000003,0.94371067702814,1.1095836497203182,290.6437183717579,304.3405760194879,322.49351779921943
1,12529.0,316.48,1,0,437,0,316.48,1.0,0.1079217241101801,-21.005957679394605,-2.2669991693457434,-2.2669991693457434
8,12530.0,372.07875,8,7,551,519,372.07875,0.9701634689013857,1.0951034462479055,382.227033604419,406.08922200580963,418.5781417493132
1,12531.0,1645.98,1,0,595,0,1645.98,1.0,0.08162616944627947,-21.005957679394605,-1.7146358609196395,-1.7146358609196395
2,12533.0,611.9449999999999,2,1,647,111,611.9449999999999,0.48924185120235825,0.09978327368988127,747.2979100807007,36.48170411374509,74.56783188945884
1,12534.0,981.18,1,0,39,0,981.18,1.0,0.5777850379172966,-21.005957679394605,-12.13692805427814,-12.13692805427814
2,12535.0,358.17499999999995,2,1,95,95,358.17499999999995,0.9091632947005304,0.8770377295696032,439.26065987049117,350.2534971711013,385.2481718220613
1,12537.0,612.94,1,0,317,0,612.94,1.0,0.14289514359820535,-21.005957679394605,-3.0016493390149166,-3.0016493390149166
1,12538.0,276.5,1,0,287,0,276.5,1.0,0.15549692903500728,-21.005957679394605,-3.2663619105851893,-3.2663619105851893
6,12539.0,2027.218,6,5,625,454,2027.218,0.875479371783101,0.6484491997113396,2102.021190439745,1193.3256234839669,1363.05395871693
26,12540.0,621.8044,26,25,641,640,621.8044,0.9938353468753522,3.292612988544488,626.3663306007019,2049.6680466018443,2062.3819157228218
2,12541.0,240.07000000000002,2,1,189,107,240.07000000000002,0.8358016969386765,0.4926669654525923,295.89958710351016,121.84313097452653,145.77995165696137
2,12542.0,240.94,2,1,549,156,240.94,0.6446141181533211,0.15285130876178685,296.9556315834837,29.259071521968757,45.39005693171849
1,12543.0,840.25,1,0,357,0,840.25,1.0,0.12896246339144038,-21.005957679394605,-2.708980048231073,-2.708980048231073
1,12545.0,544.15,1,0,168,0,544.15,1.0,0.23924386308232737,-21.005957679394605,-5.025546462962246,-5.025546462962246
3,12547.0,99.86,3,2,409,303,99.86,0.8931506729472405,0.4495152534504287,111.53493506862027,44.77958680062577,50.136654605947946
1,12548.0,67.19999999999999,1,0,75,0,67.19999999999999,1.0,0.4138454191982469,-21.005957679394605,-8.693219361489694,-8.693219361489694
5,12549.0,392.67,5,4,606,122,392.67,0.05726729762849779,0.03583029901505576,411.7288373487548,0.8448282120624542,14.752367355327141
1,12551.0,168.0,1,0,266,0,168.0,1.0,0.16572947099952584,-21.005957679394605,-3.4813062540444952,-3.4813062540444952
9,12553.0,326.67333333333335,9,8,332,313,326.67333333333335,0.9729421009937445,1.9488277209478924,334.5021127241258,634.2482976537065,651.8869899924131
1,12554.0,384.5,1,0,357,0,384.5,1.0,0.12896246339144038,-21.005957679394605,-2.708980048231073,-2.708980048231073
1,12556.0,312.9,1,0,60,0,312.9,1.0,0.46925324541745217,-21.005957679394605,-9.85711381415757,-9.85711381415757
7,12557.0,2246.591428571429,7,6,631,564,2246.591428571429,0.9556880930956693,0.8271979354513399,2315.1863425575384,1830.254860459745,1915.1173627487344
2,12559.0,262.855,2,1,228,9,262.855,0.44711534355166277,0.22697966313895068,323.5570278807479,32.8365376722204,73.44086519461223
1,12560.0,1292.31,1,0,52,0,1292.31,1.0,0.5053850530931944,-21.005957679394605,-10.616097037074237,-10.616097037074237
1,12561.0,238.85,1,0,211,0,238.85,1.0,0.2002542175482349,-21.005957679394605,-4.206531618938502,-4.206531618938502
5,12562.0,496.88199999999995,5,4,344,309,496.88199999999995,0.9507608087590204,0.9868224058021047,520.7420821900799,488.5769210021052,513.879954349212
1,12563.0,221.24,1,0,317,0,221.24,1.0,0.14289514359820535,-21.005957679394605,-3.0016493390149166,-3.0016493390149166
1,12564.0,402.9,1,0,170,0,402.9,1.0,0.2370959842170636,-21.005957679394605,-4.980428210418049,-4.980428210418049
1,12565.0,145.92,1,0,197,0,145.92,1.0,0.21147237711155173,-21.005957679394605,-4.442179803966232,-4.442179803966232
14,12567.0,848.0430769230769,14,13,575,570,848.0430769230769,0.9875720421745647,1.9198909611363306,859.9818897466755,1630.5520104328773,1651.0714568655828
1,12568.0,52.0,1,0,553,0,52.0,1.0,0.08727860463610122,-21.005957679394605,-1.833370675302556,-1.833370675302556
15,12569.0,126.59076923076924,15,14,161,160,126.59076923076924,0.988860721402073,6.049632935869565,128.471743929333,768.5493692896429,777.2068934034937
1,12571.0,248.35,1,0,30,0,248.35,1.0,0.6415357809941137,-21.005957679394605,-13.476073465379718,-13.476073465379718
5,12573.0,143.48200000000003,5,4,374,238,143.48200000000003,0.8324211984959347,0.8033634373268882,151.06027273508144,101.01955664773983,121.35629994799224
1,12574.0,182.45000000000002,1,0,224,0,182.45000000000002,1.0,0.19085461281316743,-21.005957679394605,-4.009083919670639,-4.009083919670639
2,12575.0,284.40999999999997,2,1,435,69,284.40999999999997,0.5116373083063154,0.14962808281668064,349.7214402552644,26.77303311129288,52.328148625283525
7,12576.0,240.49142857142857,7,6,435,431,240.49142857142857,0.9759033679192644,1.18345382098762,248.4017352361954,286.88824799593823,293.9719827052306
6,12577.0,297.96,6,5,645,377,297.96,0.7016286338526428,0.5048082672937183,309.60895625140523,109.659756853246,156.2931607438885
3,12578.0,1012.2000000000002,3,2,352,113,1012.2000000000002,0.6099559596550047,0.35013939283774864,1112.001571095937,237.4897411593086,389.35555493815394
2,12580.0,481.44999999999993,2,1,485,330,481.44999999999993,0.8528426114528619,0.22625678953406467,588.8973073058207,113.63446727415922,133.2420141162705
4,12582.0,455.09999999999997,4,3,486,339,455.09999999999997,0.8791149522514452,0.5258204540527955,484.8029654374677,224.10338179680554,254.919315412471
